σ,G_l,g_s
0.0,0.0,0.0
0.002882205513784461,0.002538447824652685,-3.80963208182687e-06
0.005764411027568922,0.004634763485896713,-7.230026390007385e-06
0.008646616541353382,0.006300472495020394,-1.3014771526321667e-05
0.011528822055137843,0.0075451114322585555,-2.151797571132857e-05
0.014411027568922305,0.010118527421416742,-4.3069152360741953e-05
0.017293233082706763,0.012814464058288658,-6.373658397691461e-05
0.020175438596491225,0.015581280065217636,-8.093205568082253e-05
0.023057644110275687,0.018369951737071913,-0.0001001173580973094
0.025939849624060148,0.021369774433030248,-0.000122741613706594
0.02882205513784461,0.024461073909938687,-0.00014915575916177684
0.03170426065162907,0.027641358133215384,-0.00017644480410255046
0.034586466165413526,0.030909850429843257,-0.00020522410859181588
0.03746867167919799,0.03431939672441659,-0.00023519656713974835
0.04035087719298245,0.03784719595758237,-0.0002697235491891627
0.043233082706766915,0.041476683979627546,-0.00030817970414086373
0.04611528822055137,0.045191383224734136,-0.00035005215945801087
0.04899749373433583,0.04902492368808657,-0.00039290955301953483
0.051879699248120296,0.05298900592928997,-0.00043781745200820925
0.054761904761904755,0.05704900393847584,-0.0004879918864445795
0.05764411027568922,0.061167309234493566,-0.0005465036462550673
0.06052631578947368,0.06538714927797139,-0.000615807387601684
0.06340852130325814,0.06969029113436015,-0.0006802026535506352
0.0662907268170426,0.07405225866501097,-0.0007467453586191201
0.06917293233082705,0.0784462285269048,-0.0008177764618061131
0.07205513784461152,0.0828953233696607,-0.0008961115340776548
0.07493734335839598,0.08736742230884167,-0.0009686063914337123
0.07781954887218044,0.09184911718789539,-0.001039651636516856
0.0807017543859649,0.09632545506993881,-0.001100919810923248
0.08358395989974936,0.10078487451216163,-0.0011595600885778074
0.08646616541353383,0.10522007106650044,-0.001202535809475145
0.08934837092731829,0.10962480902830514,-0.0012353330270496853
0.09223057644110275,0.11399087982932987,-0.0012562197971235942
0.0951127819548872,0.11827911572834988,-0.001269300727674988
0.09799498746867166,0.12263131428462996,-0.0012689786779833798
0.10087719298245613,0.1270756176181779,-0.001258172871704488
